""	"SRR1777612_1"	"SRR1777613_1"	"SRR1777614_1"	"SRR1777615_1"	"SRR1777616_1"	"SRR1777617_1"
"0610005C13Rik"	243	227	243	429	282	474
"0610007P14Rik"	1874	2332	1476	2259	1732	2588
"0610009B22Rik"	747	824	622	881	702	994
"0610009L18Rik"	231	131	112	70	127	141
"0610009O20Rik"	1640	1535	1034	1736	1501	1962
"0610010B08Rik"	49	27	28	22	22	46
"0610010F05Rik"	914	933	629	860	753	1042
"0610010K14Rik"	771	812	677	876	775	1002
"0610011F06Rik"	1885	1976	1439	2370	1598	2456
"0610012G03Rik"	1415	1342	1098	1462	1130	1826
"0610030E20Rik"	1335	1406	955	1503	1319	1637
"0610031O16Rik"	2	2	1	12	8	2
"0610037L13Rik"	814	850	637	921	774	986
"0610038B21Rik"	2	4	6	2	1	3
"0610039H22Rik"	0	0	1	0	0	1
"0610039K10Rik"	6	5	4	7	1	6
"0610040B10Rik"	27	29	11	17	21	20
"0610040F04Rik"	2	3	2	0	3	4
"0610040J01Rik"	2561	3284	2174	3395	2029	3271
"0610043K17Rik"	0	2	5	8	6	4
"1010001N08Rik"	67	141	66	120	93	118
"1110001J03Rik"	1053	1011	762	983	826	1135
"1110002L01Rik"	60	46	40	62	51	61
"1110004E09Rik"	828	878	652	961	745	1005
"1110004F10Rik"	2898	3023	2157	2770	2303	2965
"1110006O24Rik"	44	57	30	37	21	53
"1110007C09Rik"	1528	1833	1212	1668	1367	2037
"1110008F13Rik"	1130	1270	893	1171	854	1409
"1110008L16Rik"	540	583	341	608	481	573
"1110008P14Rik"	656	646	496	540	452	658
"1110012L19Rik"	490	570	333	486	449	600
"1110015O18Rik"	1	0	0	0	1	0
"1110017D15Rik"	5	0	6	4	0	4
"1110019D14Rik"	106	131	68	122	117	150
"1110020A21Rik"	26	75	23	51	53	62
"1110025L11Rik"	184	79	279	1	7	23
"1110028F11Rik"	8	1	2	9	6	8
"1110028F18Rik"	4	1	1	3	1	6
"1110032A03Rik"	862	992	672	1035	808	1062
"1110032F04Rik"	3	7	8	4	3	7
"1110034G24Rik"	163	151	124	206	221	245
"1110036E04Rik"	0	0	0	0	0	0
"1110037F02Rik"	2182	2305	1592	2554	1905	2505
"1110038B12Rik"	887	1086	626	1028	845	1233
"1110038F14Rik"	716	803	586	836	771	1075
"1110046J04Rik"	99	42	62	52	71	74
"1110051M20Rik"	515	427	310	391	408	453
"1110058D11Rik"	0	0	0	0	3	0
"1110059E24Rik"	1645	2086	1335	1963	1364	1926
"1110059G10Rik"	629	697	454	747	582	798
"1110065P20Rik"	342	342	248	289	271	408
"1190002F15Rik"	130	124	99	207	145	165
"1190002N15Rik"	1554	1674	1294	1559	1266	1651
"1190003K10Rik"	0	0	0	0	0	0
"1190005I06Rik"	8	14	6	8	5	5
"1190007I07Rik"	274	302	206	322	268	301
"1200014J11Rik"	1459	1797	1255	1770	1523	1968
"1300002E11Rik"	511	576	459	692	499	708
"1300017J02Rik"	2	1	0	1	0	5
"1500004A13Rik"	82	84	69	117	79	136
"1500009C09Rik"	2	0	1	5	0	3
"1500009L16Rik"	451	606	404	564	356	480
"1500011B03Rik"	478	439	388	429	410	505
"1500011K16Rik"	976	758	619	793	638	951
"1500012F01Rik"	1545	1638	1057	1676	1510	1879
"1500012K07Rik"	2	5	0	2	0	1
"1500015A07Rik"	99	119	85	137	117	107
"1500015L24Rik"	0	0	0	0	0	0
"1500015O10Rik"	32	10	16	7	13	4
"1500017E21Rik"	16	7	2	4	7	8
"1500026H17Rik"	51	16	39	43	22	34
"1600002D24Rik"	1	0	1	2	1	1
"1600002H07Rik"	244	225	193	245	247	267
"1600002K03Rik"	193	201	167	278	208	291
"1600010M07Rik"	18	6	4	10	2	8
"1600012H06Rik"	2007	2488	1703	2360	1833	2555
"1600014C10Rik"	597	495	386	491	458	521
"1600014C23Rik"	1	0	0	0	0	3
"1600014K23Rik"	0	0	0	0	0	0
"1600015I10Rik"	0	1	0	1	0	0
"1600019K03Rik"	0	0	0	0	0	0
"1600020E01Rik"	196	200	125	151	187	228
"1600023N17Rik"	2	14	29	17	12	20
"1600025M17Rik"	0	0	0	0	0	0
"1600027J07Rik"	0	0	0	0	0	0
"1600029I14Rik"	3	0	3	1	0	1
"1600029O15Rik"	8	9	5	14	17	9
"1700001C02Rik"	1	0	0	1	1	0
"1700001C19Rik"	5	12	11	9	10	10
"1700001D01Rik"	0	0	0	0	0	0
"1700001F09Rik"	0	0	0	0	0	0
"1700001G01Rik"	0	0	0	0	0	1
"1700001G11Rik"	0	0	0	0	2	0
"1700001G17Rik"	14	17	8	11	12	14
"1700001J03Rik"	1	1	1	0	1	0
"1700001J11Rik"	1	2	2	3	4	1
"1700001K19Rik"	13	3	4	5	10	5
"1700001K23Rik"	3	2	1	0	3	3
"1700001L05Rik"	491	497	349	517	470	657
"1700001L19Rik"	16	8	16	13	4	17
"1700001O22Rik"	174	182	152	177	149	194
"1700001P01Rik"	0	1	0	1	0	1
"1700003C15Rik"	0	0	0	0	0	0
